icao,type,name,latitude,longitude,elevation,country
KABR,medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605467,1302,US
KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197,US
KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,US
KACT,medium_airport,Waco Regional Airport,31.611299514770508,-97.23049926757812,516,US
KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,US
KACY,medium_airport,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75,US
KAEX,medium_airport,Alexandria International Airport,31.3274,-92.549797,89,US
KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144,US
KAHN,medium_airport,Athens Ben Epps Airport,33.94860076904297,-83.32630157470703,808,US
KALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285,US
KALO,medium_airport,Waterloo Regional Airport,42.55709838867188,-92.40029907226562,873,US
KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539,US
KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,US
KAMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,US
KAOO,medium_airport,Altoona Blair County Airport,40.29639816,-78.31999969,1503,US
KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,US
KART,medium_airport,Watertown International Airport,43.99190139770508,-76.02169799804688,325,US
KASE,medium_airport,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820,US
KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,US
KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749,US
KAUG,medium_airport,Augusta State Airport,44.3205986023,-69.7973022461,352,US
KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,US
KAVL,medium_airport,Asheville Regional Airport,35.436199,-82.541801,2165,US
KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.3385009766,-75.72339630130001,962,US
KAZO,medium_airport,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,874,US
KBDL,medium_airport,Bradley International Airport,41.93851,-72.688066,173,US
KBDR,medium_airport,Igor I Sikorsky Memorial Airport,41.16350173950195,-73.1261978149414,9,US
KBFD,medium_airport,Bradford Regional Airport,41.8031005859375,-78.64009857177734,2143,US
KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,US
KBFI,medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,21,US
KBFL,medium_airport,Meadows Field,35.433601,-119.056999,510,US
KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,US
KBGR,medium_airport,Bangor International Airport,44.8074,-68.828102,192,US
KBHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,83,US
KBHM,medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,650,US
KBID,small_airport,Block Island State Airport,41.1680984497,-71.577796936,108,US
KBIE,small_airport,Beatrice Municipal Airport,40.3013000488,-96.75409698490002,1324,US
KBIL,medium_airport,Billings Logan International Airport,45.807701,-108.542999,3652,US
KBIS,medium_airport,Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,1661,US
KBKW,medium_airport,Raleigh County Memorial Airport,37.7873001099,-81.1241989136,2504,US
KBLF,medium_airport,Mercer County Airport,37.29579925537109,-81.20770263671875,2857,US
KBLI,medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,170,US
KBLV,medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,US
KBMI,medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,871,US
KBNA,large_airport,Nashville International Airport,36.1245002746582,-86.6781997680664,599,US
KBOI,medium_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,US
KBOS,large_airport,Logan International Airport,42.3643,-71.005203,20,US
KBPT,medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,15,US
KBQK,medium_airport,Brunswick Golden Isles Airport,31.2588005065918,-81.46649932861328,26,US
KBRD,medium_airport,Brainerd Lakes Regional Airport,46.39830017,-94.13809967,1232,US
KBRL,medium_airport,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354003906,698,US
KBRO,medium_airport,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,22,US
KBTM,medium_airport,Bert Mooney Airport,45.95479965209961,-112.49700164794922,5550,US
KBTR,medium_airport,Baton Rouge Metropolitan Airport,30.533199,-91.149597,70,US
KBTV,medium_airport,Burlington International Airport,44.4719009399,-73.15329742429999,335,US
KBUF,large_airport,Buffalo Niagara International Airport,42.94049835,-78.73220062,728,US
KBUR,medium_airport,Bob Hope Airport,34.197703,-118.356378,778,US
KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,US
KBZN,medium_airport,Gallatin Field,45.77750015,-111.1529999,4473,US
KCAE,medium_airport,Columbia Metropolitan Airport,33.938801,-81.119499,236,US
KCAK,medium_airport,Akron Canton Regional Airport,40.91609954833984,-81.44219970703125,1228,US
KCDC,medium_airport,Cedar City Regional Airport,37.70100021362305,-113.0989990234375,5622,US
KCEC,medium_airport,Jack Mc Namara Field Airport,41.78020096,-124.2369995,61,US
KCGI,medium_airport,Cape Girardeau Regional Airport,37.2253,-89.570801,342,US
KCHA,medium_airport,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,683,US
KCHO,medium_airport,Charlottesville Albemarle Airport,38.13859939575195,-78.4529037475586,639,US
KCHS,medium_airport,Charleston International Airport,32.898602,-80.040497,46,US
KCID,medium_airport,The Eastern Iowa Airport,41.884701,-91.7108,869,US
KCIU,medium_airport,Chippewa County International Airport,46.25080108642578,-84.47239685058594,800,US
KCKB,medium_airport,North Central West Virginia Airport,39.2966003418,-80.2281036377,1217,US
KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,791,US
KCLL,medium_airport,Easterwood Field,30.58860016,-96.36380005,320,US
KCLM,medium_airport,William R Fairchild International Airport,48.12020111083984,-123.5,291,US
KCLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,748,US
